word,definition,present,example,past,conditional,subjunctive,future,imperfect,continuousProgressive,mark
cometer,to commit,,Quiero pedir disculpas al público estadounidense por cometer una clara equivocación. (I want to apologize to the U.S. public for commiting a clear error.),,,,,,,
por,by; because; why; per,,,,,,,,,
sitio,place; location; corner,,,,,,,,,
ni siquiera,not even,,,,,,,,,
retrasado,delayed,,,,,,,,,
mental,mental; intellectual,,,,,,,,,
rara,strange; odd; funny,,,,,,,,,
punto,point; dot; period,,,,,,,,,
sonrisa,smile,,,,,,,,,
palo,stick,,,,,,,,,
llena,full,,,,,,,,,
utilizar,to use; to utilize,,,,,,,,,
mochila,backpack,,,,,,,,,
maleta,suitcase,,,,,,,,,
la bola,ball,,,,,,,,,
pantalón,pants; jeans,,,,,,,,,
tarde,late,,,,,,,,,
gastado,"worn, worn out, well-used, old, stale, hackneyed, broken",,No espere hasta un día lluvioso para cambiar unas escobillas ya gastadas. (Don't wait until a rainy day to change worn-out windshield wipers.),,,,,,,
derramar,"to spill, to pour",,Los hispanos han derramado generosamente su sangre como combatientes en las fuerzas armadas de Estados Unidos. (Hispanics have generously spilled their blood as combatants in the U.S. armed forces.),,,,,,,
olvidar,to forget,,"Dime y lo olvido, enséñame y lo recuerdo, involúcrame y lo aprendo. (You tell me, and I forget. You teach me, and I remember. You involve me, and I learn.)",,,,,,,
visto,,,,,,,,,,
hasta ahora,until now,,,,,,,,,
mano,hand,,,,,,,,,
desde luego,of course,,,,,,,,,
regresar,to return; to come back; to go back,,¿cuándo regresará? (When will he/she come back?),,,,,,,
resto,,,,,,,,,,
carretera,road,,,,,,,,,
encantador,enchanting,,,,,,,,,
último,last; final,,La violencia es el último refugio del incompetente. (Violence is the last refuge of the incompetent.),,,,,,,
fácil,easy,,Es más fácil perdonar a un enemigo que a un amigo. (It is easier to forgive an enemy than to forgive a friend.),,,,,,,
encuentro,"meeting, encounter, skirmish, traffic accident, the finding of someone or something",,El encuentro en el Palacio de Gobierno duró tres horas. (The meeting in the Government Palace lasted three hours.),,,,,,,
lucho/lucha,"fight; struggle, strife, contest, wrestle; dispute; argument",,,,,,,,,
seguir,to remain,,,,,,,,,
"el francotirador, la francotiradora","sharpshooter, sniper",,Diez personas murieron y otras tres resultaron heridas durante los ataques del francotirador en la zona de Washington. (Ten people died and three others were injured during the sniper's attacks in the Washington area.),,,,,,,
volver,to become,,"Una mentira es como una bola de nieve; cuanto más rueda, más grande se vuelve. (A lie is like a snowball; the more it rolls around the bigger it becomes.)",,,,,,,
relajar,"to relax, to weaken, to loosen",,Un científico de Viena ha elaborado dos discos compactos con música que relaja a los gatos. (A Vienna scientist has produced two compact discs with music that relaxes cats.),,,,,,,
caer,to fall,,El hombre que se levanta es aún más grande que el que no ha caído. (The one who lifts himself up is even greater than the one who has not fallen.),,,,,,,
la diablura,"prank, practical joke, trick, stunt, devilish act",,La mayor diablura del diablo es hacernos creer que no existe. (The biggest trick of the devil is making us believe he doesn't exist.),,,,,,,
país,country,,"Pregunten no lo que su país puede hacer por ustedes, pregunten, más bien, qué pueden hacer ustedes por su país. (Ask not what your country can do for you — ask what you can do for your country.)",,,,,,,
echar,,,El mal escribano le echa la culpa a la pluma. (The poor notary casts the blame to his pen. - A poor workman blames his tools.),,,,,,,
entonces,well; then; so,,"Si ella camina, entonces él camina. (If she walks, then he walks.)",,,,,,,
antes/después,before/after,,"Ni antes, ni después. (Neither before nor after.)",,,,,,,
casi,almost; nearly,,Es casi imposible. (It is nearly impossible.),,,,,,,
además,besides; in addition; also,,,,,,,,,
aeropuerto,airport,,,,,,,,,
despacio,slowly; quietly; softly,,,,,,,,,
todavía,even; yet; still,,Él todavía esta aquí. (He is still here.),,,,,,,
tampoco,either; not either; neither,,Yo tampoco. (Me neither.),,,,,,,
pronto,soon; early; prompt,,!Hasta pronto! (Until soon!),,,,,,,
allí,there,,,,,,,,,
de pronto,all of a sudden; suddenly; at once,,,,,,,,,
silbato,whistle; referee,,,,,,,,,
el avión,airplane,,,,,,,,,
el barco,the ship,,,,,,,,,
las tijeras,scissors,,,,,,,,,
el reloj,watch; clock,,,,,,,,,
demasiado,too; too much; very,,,,,,,,,
por supuesto,of course,,,,,,,,,
bastante,fairly; enough; plenty of; quite a lot,,Es un abrigo bastante nuevo. (It is a fairly new coat.),,,,,,,
quizás,maybe; perhaps,,,,,,,,,
la campana,bell,,,,,,,,,
la fuente,source; spring; fountain,,Tengo mis fuentes. (I have my sources.),,,,,,,
actualmente,currently,,,,,,,,,
jamás,never; ever,,,,,,,,,
alrededor,around; about,,,,,,,,,
cansada,tired,,,,,,,,,
lento,slow,,rapido/lento,,,,,,,
bajar,,,,,,,,,,
la negrura,blackness; darkness,,El capitán maldecía la negrura de la noche. (The captain cursed the darkness of the night.),,,,,,,
infantil,"childish; infantile, childlike",,,,,,,,,
simplemente,simply; just,,,,,,,,,
igualmente,likewise; equally,,,,,,,,,
práctimante,practically; virtually,,,,,,,,,
adelante,forward,,,,,,,,,
debajo,underneath; below,,,,,,,,,
probablemente,probably,,,,,,,,,
aceite,oil; grease,,,,,,,,,
objetos,objects; points,,,,,,,,,
la cadena,chain; string,,,,,,,,,
la copa,the cup,,,,,,,,,
página,page; chapter,,,,,,,,,
la revista,magazine,,,,,,,,,
la caja,box; case,,"si no paga un dividend, entonces el modelo no funciona (If it doesn´t pay a dividend, then the model doesn´t work.)",,,,,,,
la foto,photograph,,,,,,,,,
reciente,recent,,,,,,,,,
la pieza,the piece,,,,,,,,,
regla,rule; period,,,,,,,,,
la moneda,coin,,,,,,,,,
la pantalla,screen,,,,,,,,,
la máquina,machine,,,,,,,,,
el polvo,powder,,,,,,,,,
el puente,bridge,,,,,,,,,
la bandera,flag,,,,,,,,,
lista,clever; smart; sharp,,,,,,,,,
el arma,weapon,,,,,,,,,
la rueda,wheel; roll,,,,,,,,,
aproximadamente,approximately; around; about,,,,,,,,,
inmediatamente,immediately,,,,,,,,,
principalmente,principally; mainly,,,,,,,,,
recientemente,recently,,,,,,,,,
únicamente,only; solely,,,,,,,,,
nuevamente,again; once again,,,,,,,,,
seguramente,surely; certainly; probably,,,,,,,,,
completamente,completely,,,,,,,,,
definitivamente,definitely,,,,,,,,,
exactamente,exactly,,,,,,,,,
apenas,hardly; only; just; barely,,,,,,,,,
enfermera,nurse,,,,,,,,,
anteriormente,previously; before,,,,,,,,,
relativamente,relatively,,,,,,,,,
guía,,,,,,,,,,
iniciar,,,,,,,,,,
reto,,,,,,,,,,
recurso,,,,,,,,,,
cambiar,to change,,,,,,,,,
promover,,,,,,,,,,
parejas,,,,,,,,,,
fomentar,,,,,,,,,,
destacados,,,,,,,,,,
torneo,tournament,,,,,,,,,
loco,crazy,,El que sabe que es un loco no está muy loco. (The one who believes he's a crazy person isn't very crazy.),,,,,,,
nimio,"trivial, insignificant, inconsequential",,Grandes conflictos empiezan por cosas aparentemente nimias. (Great conflicts begin because of apparently trivial things.),,,,,,,
la distancia,distance,,,,,,,,,
trabajadores,workers,,,,,,,,,
la gente,people,,,,,,,,,
la población,population,,,,,,,,,
aumenta,increase,,,,,,,,,
unos cuantos,a few,,,,,,,,,
compañero,partner; peer; companion,,,,,,,,,
ciudadanos,citizens,,,,,,,,,
pareja,pair; couple; partner,,,,,,,,,
amplia,wide; ample; broad,,,,,,,,,
zona,zone; area,,,,,,,,,
el castillo,castle,,,,,,,,,
la sala,lounge,,,,,,,,,
el puerto,harbor,,,,,,,,,
sala,room,,,,,,,,,
la costa,shore,,,,,,,,,
edificio,building,,,,,,,,,
departamento,apartment; department; compartment,,,,,,,,,
territorio,territory; region,,,,,,,,,
la isla,island,,,,,,,,,
terreno,land; terrain; soil,,,,,,,,,
distinto,distinct; different,,,,,,,,,
la hacienda,estate; ranch,,,,,,,,,
el barrio,neighborhood,,,,,,,,,
la cárcel,jail,,,,,,,,,
el edificio,building,,,,,,,,,
costumbre,custom; habit,,,,,,,,,
testigo,witness,,,,,,,,,
el caballero,gentleman,,,,,,,,,
el campesino,farmer; peasant,,,,,,,,,
la patria,homeland,,,,,,,,,
la torre,tower,,,,,,,,,
salón,hall; living room; sitting room,,,,,,,,,
el hogar,home,,,,,,,,,
la frontera,border,,,,,,,,,
la carretera,road,,,,,,,,,
el patio,yard,,,,,,,,,
la pista,clue; trail; track,,,,,,,,,
la esquina,corner,,,,,,,,,
la galería,gallery,,,,,,,,,
la ruta,route,,,,,,,,,
lento/rápido,slow/fast,,,,,,,,,
confeccionar,"to make (clothing), to make (a list), to prepare (a food or drink)",,Su mamá le confecciona sus trajes. (His mother makes his outfits for him.),,,,,,,
desprender,"to remove, to come off, to separate",,"Con gran asombro vieron desprenderse de sus cimientos la casa, como catapultada por un cohete, y en seguida caer en pedazos el techo, las paredes, los pisos y los muebles. (To their utter amazement, they saw the house come apart from its foundation, as if lifted by a rocket, and one after the other the roof, the walls, the floor and the furniture fell into pieces.)",,,,,,,
recibir,to receive,,,,,,,,,
disfrutar,,,,,,,,,,
emotivo,,,,,,,,,,
cabo,,,,,,,,,,
peleado,,,,,,,,,,
involucrado,,,,,,,,,,
quería,,,,,,,,,,
dejar,,,,,,,,,,
falta,,,Escribe en la arena las faltas de tu amigo. (Write in the sand the faults of your friend.),,,,,,,
exigir,,,,,,,,,,
acaba,,,,,,,,,,
disputar,,,,,,,,,,
valor,,,,,,,,,,
respuesta,response; answer,,,,,,,,,
lucro,,,,,,,,,,
atender,,,,,,,,,,
acercar,,,,,,,,,,
enfrentar,,,,,,,,,,
sede,,,,,,,,,,
ocasíon,occasion,,,,,,,,,
aficionado,,,,,,,,,,
apoyabar,,,,,,,,,,
reciente,,,,,,,,,,
vez,,,,,,,,,,
jugó,,,,,,,,,,
apretar,,,,,,,,,,
el quehacer,"task, something that needs doing, to-do",,Los quehaceres de la casa son parte de la vida diaria de cada familia. Sin embargo tienden a crear conflictos. (Housework is a part of daily life for every family. Nevertheless it tends to creates conflicts.),,,,,,,
extralimitarse,"to go beyond the limits, to go too far, to abuse one's authority",,"Si tomas medidas apropriadas y no te extralimitas en tus actividades diarias lograrás reponer tus energías y mantener un nivel de salud aceptable. (If you take appropriate steps and not overdo your daily activities, you will successfully bring back your energy and maintain an acceptable level of health.)",,,,,,,
la mujer,woman,,"A mujer bonita o rica, todo el mundo la critica. (Everyone criticizes a rich or beautiful woman.)",,,,,,,
el cobre,copper,,El cobre es un metal rojizo que ocurre naturalmente en el ambiente. (Copper is a reddish metal that occurs naturally in the environment.),,,,,,,
flaco,thin; skinny; weak; frail,,,,,,,,,
temprano,early,,antonym: tarde (late),,,,,,,
socia,member,,,,,,,,,
la asamblea,congregation; assembly; meeting,,Mi madre es socia de las Asambleas de Dios. (My mother is a member of the Assembly of God.),,,,,,,
nacer,to be born,,"El hombre nace sin dientes, sin cabello y sin ilusiones. Y muere lo mismo: sin dientes, sin cabellos y sin ilusiones. (Man is born without teeth, without hair and without illusions. And he dies the same way: without teeth, without hair and without illusions.)",,,,,,,
ganar,to earn,,,,,,,,,
levantar pesas,lift weight,,,,,,,,,
montar en bicicleta,ride bicycle,,,,,,,,,
tener dolor,have pain,,,,,,,,,
ligero,light; slight; thin,,,,,,,,,
quemante,burning,,,,,,,,,
constante,constant,,,,,,,,,
descansar,to rest,,,,,,,,,
mitad,half,,,,,,,,,
tercero,third,,,,,,,,,
toneladas,tons,,,,,,,,,
lo mismo,same,,,,,,,,,
se,himself; herself; yourself,,,,,,,,,
la etapa,stage (of a process); phase (of a process),,"Bueno, aquí empieza entonces otra etapa de mi vida. (Good, here begins another stage of my life.)",,,,,,,
burlarse de,"to make fun of, to mock",,"Muchos padres gritan, se burlan, regañan y hasta golpean a otros adultos, sin recibir nunca la ayuda que necesitan. (Many parents yell at, make fun of, argue with and even hit other adults without ever getting the help they need.)",,,,,,,
esperanza,hope,,,,,,,,,
la máscara,"mask, pretense, act (in the sense that a person puts on an act), fancy clothing, person wearing a mask",,"Aprendemos temprano a usar máscaras, que cambiamos con tanta frecuencia, que ya no somos capaces de identificar nuestro rostro en el espejo. (We learn early to wear masks that change so often that we are no longer capable of identifying our face in the mirror.)",,,,,,,
el mundo,the world,,El amigo de todo el mundo no es un amigo. (The friend of everyone isn't a friend.),,,,,,,
la salida,"exit, way out, departure, trip (travel) or outing, vent (literal or figurative), solution (to a problem)",,El amor tiene fácil la entrada y difícil la salida. (Love has an easy entrance and a difficult exit.) El gobierno y la oposición venezolanos firmaron un acuerdo que abre el camino a una salida electoral a la severa crisis. (The Venezuelan government and opposition signed an agreement that opens the door to an electoral solution for the severe crisis.),,,,,,,
todo,everything,,"Al pobre le faltan muchas cosas; al avaro, todas. (The poor lack many things; the miser, everything.)",,,,,,,
muchas veces,often; many times,,Muchas veces su cena consistía en una sencilla ensalada o una pequeña porción de avena. (Often her dinner would consist of a simple salad or a small portion of oats.),,,,,,,
sencilla,simple,,,,,,,,,
palabra,word,,"Buenas palabras y buenos modales, todas las puertas abren. (Kind words and good manners open all doors.)",,,,,,,
modales,manners,,,,,,,,,
listo,ready,,,,,,,,,
ahorrar,to save,,,,,,,,,
el aborto,"miscarriage, abortion, ugly or freakish person",,"El aborto espontáneo es la pérdida de un feto durante el embarazo por razones naturales, generalmente debido a muerte fetal. (A miscarriage is the loss of a fetus during pregnancy for natural reasons, generally due to fetal death.)",,,,,,,
a quemarropa,"at point-blank range, extremely close",,Asesinaron a quemarropas a un militante del Movimiento Territorial Liberación. (They murdered at point-blank range a militant from the Territorial Liberation Movement.),,,,,,,
ver,to see,,"A donde fueres haz lo que vieres. (Wherever you go, do what you see.); ver películas (to watch movies)",,,,,,,
la afección,"disease, affliction, complaint, affection",,"Las causas de este deterioro neurológico son variadas. Pueden ser ocasionadas por enfermedades degenerativas cerebrales, afecciones vasculares, trastornos fisiológicos del sueño, ansiedad o por una gran dosis de estrés laboral y familiar. (The causes of this neurological deterioration are varied. They can be caused by degenerative brain diseases, vascular diseases, physiological sleep disorders, anxiety or by a great deal of work and family stress.)",,,,,,,
sobrenadar,to float,,Caminaron a través de la antigua ciudad de Jerusalén y sobrenadaron en el Mar Muerto. (They traveled through the old city of Jerusalem and floated in the Dead Sea.),,,,,,,
cuando,when,,Buen amigo es el gato cuando no araña. (The cat is a good friend when he's not scratching.),,,,,,,
billete,ticket,,La experiencia es como un billete de lotería comprado después del sorteo. No creo en ella. (Experience is like a lottery ticket bought after the drawing. I don't believe in it.),,,,,,,
asolar,"to destroy, to devastate, to raze",,"Tras la guerra y las epidemias que asolaron el país, Alemania perdió la tercera parte de su población.",,,,,,,
zapatos,shoes,,"Le tengo cariño a la H. Es como unos zapatos viejos, que no valen para nada, pero que no te animas a tirarlos porque te recuerdan por dónde has caminado con ellos. (I'm fond of the letter H. It's like some old shoes  they aren't worth anything, but you're not inclined to throw them away because they remind you of where you have walked with them.)",,,,,,,
tortuga,turtle; tortoise,,"La tortuga de orejas rojas es omnívora, por lo que come casi de todo. (The red-eared turtle is omnivorous, for it eats just about everything.)",,,,,,,
el arco iris,rainbow,,"A veces, es posible ver también lo que se conoce como arco iris secundario, el cual es más débil y presenta los colores invertidos. (Sometimes, it is also possible to see what is known as a secondary rainbow, which is weaker and is in reversed colors.)",,,,,,,
vale,,,Más vale pájaro en mano que ciento volando. (A bird in the hand is worth a hundred flying.),,,,,,,
el diablo,,,Más sabe el diablo por viejo que por diablo. (The devil knows more due to being old than due to being the devil.),,,,,,,
la encrucijada,crossroads (literal or figurative),,La bioética se encuentra en una encrucijada. (Bioethics finds itself at a crossroads.),,,,,,,
el éxito,"success; excellent result; best-selling book, recording, movie or other work (a hit)",,La Pasión del Cristo fue éxito de taquilla. (The Passion of The Christ was a box-office hit.),,,,,,,
la carnaza,"piece of meat cut off the bone, scrap of meat, bait (literal or figurative)",,"Si quieres darle algo extra a tu perro, puedes darle premios que pueden ser galletas (especiales para perro) o carnazas. (f you want to give something extra to your dog, you can give him treats such as dog biscuits or scraps of meat.)",,,,,,,
el cuento,"story, tale, short story",,Es un cuento fácil de leer que contiene muchas palabras que el niño sabe pronunciar o leer. (It is an easy story to read that contains many words that the child can pronounce or read.),,,,,,,
valorar,to value,,"El que no valora la vida, no se la merece. (The one who doesn't value life doesn't deserve it.)",,,,,,,
el teclado,"keyboard (of a computer, piano, organ, typewriter or similar device)",,"El teclado es un componente al que se le da poca importancia, especialmente en los ordenadores clónicos. Si embargo es un componente esencial. (The keyboard is a component that is given little importance, especially with clone computers. Nevertheless, it is an essential component.)",,,,,,,
raís,root,,"Todos los problemas tienen la misma raíz: el miedo, que desaparece gracias al amor; pero el amor nos da miedo. (All problems have the same root: fear, which disappears thanks to love; but love gives us fear.)",,,,,,,
la quemadura,"burn, scald",,Una quemadura de sol en una persona con piel muy clara puede ocurrir en menos de 15 minutos de exposición al sol del mediodía. (A sunburn in a person with very fair skin can occur in less than 15 minutes of exposure to the midday sun.),,,,,,,
ejem,"an interjection expressing doubt, incredulity or irony; English equivalents (depending on the context) can include ""ahem,"" ""hmmm,"" and ""um.""",,"Algunos dirán que es romántico, sensual e hiperfemenino, pero eso, ejem, sólo depende de ti. (Some will say that it is romantic, sensual and hyperfeminine, but that, hmmmm, depends only on you.)",,,,,,,
bien,well,,"Bien vestido, bien recibido. (Well dressed, well received.)",,,,,,,
la justicia,justice,,Buena es la justicia si no la doblara la malicia. (Justice is good if evil doesn't increase.),,,,,,,
sufrir,to suffer,,Es mejor sufrir una injusticia que cometerla. (It is better to suffer an unjustice than to commit one.),,,,,,,
el campeón,"champion, advocate, defender",,Todo lo absurdo tiene un campeón que lo defienda. (Every absurdity has a champion who defends it.),,,,,,,
llegar,to come,,El matrimonio es como la muerte; pocos llegan a él preparados. (Marriage is like death; few come to it prepared.),,,,,,,
el judas,"traitor, betrayer",,"Como en la película Alien, también hay un judas, esta vez un presunto amigo que trabaja para la CIA. (As in the film Alien, there is also a traitor, this time a presumed friend who works for the CIA.)",,,,,,,
sangre,blood,,Es parentesco sin sangre una amistad verdadera. (Kinship without a blood relationship is true friendship.),,,,,,,
el amor,love,,El amor no es sólo un sentimiento. Es también un arte. (Love is not only a feeling. It is also an art.),,,,,,,
conjeturas,opinions,,(El hombre permanece en el rincón de la oscuridad por temor a que la luz de la verdad le deje ver cosas que derrumbarían sus conjeturas.) Man stays in the corner of darkness out of fear that the light of truth will allow him to see things that demolish his opinions.,,,,,,,
ventoso,windy,,A finales del 1963 el gran Sonny Boy Williamson deja el ventoso Chicago por el desapacible Londres. (At the end of 1963 the great Sonny Boy Williamson leaves windy Chicago for unpleasant London.),,,,,,,
amistad,friendship,,La buena y verdadera amistad no debe ser sospechosa en nada. (Good and true friendship should not be suspicious of anything.,,,,,,,
el perfil,"profile (literal or figurative), silhouette, outline, cross section",,El perfil del estudiante de español de los países de Europa Central es una mujer entre 17 y 25 años. (The profile of a Spanish student in the countries of Central Europe is a woman between 17 and 25 years of age.),,,,,,,
quebrar,"to break, to crush, to impede, to weaken",,"Dios dio las nueces, pero no las quiebra ni las pela. (God provided walnuts, but he doesn't crack them or shell them.)",,,,,,,
aquel,that (over there),,aquel; aquellos; aquellas,,,,,,,
vencer,to win,,,,,,,,,
el ocio,leisure; free time; idleness,,La Costa Blanca te ofrece un sinfin de sitios de ocio. (The Costa Blanca (White Coast) offers you countless places for leisure.),,,,,,,
más … que,more than,,Más vale la pena en el rostro que la mancha en el corazón. (Sorrow on the face is worth more than the stain on the heart.),,,,,,,
sello,"stamp, seal, brand (as of a product)",,Descubre el apasionante mundo de los sellos y la filatelia. (Discover the exciting world of stamps and philately.),,,,,,,
"el gemelo, la gemela",twin,,Mi hermana y yo somos gemelas. (My sister and I are twins.),,,,,,,
pero,but,,,,,,,,,
sino,"but; rather (sino is used for ""but"" in sentences of type ""not A but B"")",,,,,,,,,
caer,to fall,,El caer no ha de quitar la gloria del haber subido.  (The fall does not have to remove the glory of having risen.),,,,,,,
coger,to catch,,El que persigue dos liebres no coge ninguna. (The one who chases after two hares catches neither.),,,,,,,
la boca,"mouth, entrance or exit, orifice",,"Los cabellos blancos son signo de sabiduría, si mantiene la boca cerrada. (White hair is a sign of wisdom, if you keep your mouth shut.)",,,,,,,
mantener,to maintain,,,,,,,,,
nada,nothing,,Más vale poco que nada. (A little is worth more than nothing.),,,,,,,
dulcificar,"to sweeten, to make more palatable (can apply to conditions and things other than food), to make milder or more mellow, to make less harsh",,"Ahora las religiones se dulcifican. En nuestros días, ¿quién cree en el infierno? (Now religions are getting mellower. In our time, who believes in hell?)",,,,,,,
encontrar,to find; to encounter,,Amor es encontrar en la felicidad de otro tu propia felicidad. (Love is finding your own happiness in the happiness of another.),,,,,,,
ahuyentar,"to scare away, to frighten off, to dispel",,Más tarde el cocodrilo ahuyentó a los dos animales. (Later the crocodile scared away the two animals.),,,,,,,
apreciar,to appreciate; to value,,El día es excesivamente largo para quien no lo sabe apreciar y emplear. (The day is too long for the one who does not know how to value it and put it to use.),,,,,,,
emplear,to put to use; to employ,,,,,,,,,
alguien,,,,,,,,,,
paquete,packet; library,,,,,,,,,
reaccion,reaction,,,,,,,,,
tratar,,,,,,,,,,
instalar,to install,,,,,,,,,
